Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
32E-PM-1017-01,32E,PM,10172018,1,Adult,818.5234305,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
9B-PM-1013-01,09B,PM,10132018,1,Juvenile,648.5937664,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
26B-AM-1010-01,26B,AM,10102018,1,Adult,430.2581962,Gray,,Gray+,,Ground Plane,FALSE,running across bridle path,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
31D-AM-1014-02,31D,AM,10142018,2,Juvenile,582.1078389,Gray,White,Gray+White,,Ground Plane,FALSE,Undergrowth,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
5C-PM-1010-11,05C,PM,10102018,11,Adult,467.6927806,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
16C-AM-1014-04,16C,AM,10142018,4,Adult,563.5257694,Gray,Black,Gray+Black,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
5D-PM-1018-04,05D,PM,10182018,4,Adult,559.7070811,Gray,White,Gray+White,Partial missing tail,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing (dog chasing),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
36B-PM-1013-03,36B,PM,10132018,3,Adult,594.9362676,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
40C-AM-1017-02,40C,AM,10172018,2,Adult,561.3919222,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,chasing (#1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
28I-AM-1013-01,28I,AM,10132018,1,Adult,621.8204692,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Jumped onto path & then back into brush,FALSE,FALSE,FALSE,FALSE,FALSE,stood on fence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
38F-AM-1018-04,38F,AM,10182018,4,Adult,508.4569093,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1F-AM-1010-01,01F,AM,10102018,1,Adult,417.5449229,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
26A-AM-1014-01,26A,AM,10142018,1,,546.4747716,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,could not get close due to fences
32E-AM-1007-05,32E,AM,10072018,5,Adult,346.7794068,Black,,Black+,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
